talkativeness,agreeableness,knowledge_sharing,mimicry,critical_thinking,equal,loop,timeout,percent
0.1,0.5,0.9,,0.1,20,25,5,"6.67, 6.67, 13.33, 6.67, 26.67, 13.33, 33.33, 6.67, 6.67, 6.67, 13.33, 26.67, 20.0, 0.0, 20.0, 20.0, 26.67, 6.67, 0.0, 40.0"
0.1,0.5,0.9,,0.5,27,23,0,"100.0, 100.0, 100.0, 93.33, 93.33, 100.0, 100.0, 86.67, 100.0, 86.67, 93.33, 93.33, 93.33, 93.33, 86.67, 100.0, 93.33, 100.0, 93.33, 80.0, 93.33, 93.33, 93.33, 100.0, 100.0, 100.0, 93.33"
0.1,0.5,0.9,,0.9,41,9,0,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
0.1,0.5,0.9,0.5,0.1,30,19,1,"26.67, 26.67, 20.0, 13.33, 0.0, 0.0, 0.0, 20.0, 20.0, 13.33, 6.67, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 0.0, 20.0, 13.33, 26.67, 6.67, 6.67, 33.33, 20.0, 0.0, 6.67, 0.0, 13.33, 20.0"
0.1,0.5,0.9,0.5,0.5,39,11,0,"100.0, 86.67, 86.67, 80.0, 80.0, 86.67, 100.0, 86.67, 100.0, 100.0, 73.33, 80.0, 80.0, 73.33, 100.0, 100.0, 100.0, 93.33, 93.33, 86.67, 80.0, 100.0, 100.0, 93.33, 86.67, 80.0, 93.33, 86.67, 80.0, 86.67, 86.67, 100.0, 73.33, 73.33, 86.67, 93.33, 86.67, 100.0, 93.33"
0.1,0.5,0.9,0.5,0.9,42,8,0,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 93.33, 100.0, 100.0, 93.33, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
0.1,0.5,0.9,0.9,0.1,33,13,4,"20.0, 6.67, 20.0, 26.67, 13.33, 26.67, 26.67, 20.0, 13.33, 13.33, 6.67, 0.0, 6.67, 6.67, 6.67, 13.33, 6.67, 13.33, 13.33, 13.33, 6.67, 13.33, 6.67, 13.33, 13.33, 13.33, 20.0, 26.67, 20.0, 13.33, 6.67, 13.33, 13.33"
0.1,0.5,0.9,0.9,0.5,42,8,0,"93.33, 93.33, 86.67, 100.0, 100.0, 100.0, 93.33, 93.33, 93.33, 100.0, 100.0, 100.0, 93.33, 100.0, 93.33, 86.67, 100.0, 93.33, 100.0, 100.0, 100.0, 100.0, 100.0, 93.33, 93.33, 93.33, 100.0, 93.33, 93.33, 86.67, 86.67, 86.67, 93.33, 93.33, 93.33, 100.0, 100.0, 93.33, 100.0, 100.0, 93.33, 93.33"
0.1,0.5,0.9,0.9,0.9,46,4,0,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
0.1,0.9,0.1,,0.1,5,16,29,"20.0, 26.67, 13.33, 13.33, 20.0"
