talkativeness,agreeableness,knowledge_sharing,mimicry,critical_thinking,equal,loop,timeout
0.5,0.5,0.5,0.5,0.5,15,35,0
0.5,0.5,0.5,0.5,0.9,6,44,0
0.5,0.5,0.5,0.9,0.1,0,45,5
0.5,0.5,0.5,0.9,0.5,0,50,0
0.5,0.5,0.5,0.9,0.9,0,50,0
0.5,0.5,0.9,0.1,0.1,50,0,0
0.5,0.5,0.9,0.1,0.5,50,0,0
0.5,0.5,0.9,0.1,0.9,50,0,0
0.5,0.5,0.9,0.5,0.1,50,0,0
0.5,0.5,0.9,0.5,0.5,50,0,0
0.5,0.5,0.9,0.5,0.9,50,0,0
0.5,0.5,0.9,0.9,0.1,10,40,0
0.5,0.5,0.9,0.9,0.5,14,36,0
0.5,0.5,0.9,0.9,0.9,34,16,0
0.5,0.9,0.1,0.1,0.1,1,46,3
0.5,0.9,0.1,0.1,0.5,0,50,0
0.5,0.9,0.1,0.1,0.9,4,46,0
0.5,0.9,0.1,0.5,0.1,0,44,6
0.5,0.9,0.1,0.5,0.5,0,50,0
0.5,0.9,0.1,0.5,0.9,0,50,0
0.5,0.9,0.1,0.9,0.1,0,48,2
0.5,0.9,0.1,0.9,0.5,0,50,0
0.5,0.9,0.1,0.9,0.9,0,50,0
0.5,0.9,0.5,0.1,0.1,50,0,0
0.5,0.9,0.5,0.1,0.5,50,0,0
0.5,0.9,0.5,0.1,0.9,50,0,0
0.5,0.9,0.5,0.5,0.1,19,31,0
0.5,0.9,0.5,0.5,0.5,14,36,0
0.5,0.9,0.5,0.5,0.9,9,41,0
0.5,0.9,0.5,0.9,0.1,0,50,0
0.5,0.9,0.5,0.9,0.5,0,50,0
0.5,0.9,0.5,0.9,0.9,0,50,0
0.5,0.9,0.9,0.1,0.1,50,0,0
0.5,0.9,0.9,0.1,0.5,50,0,0
0.5,0.9,0.9,0.1,0.9,50,0,0
0.5,0.9,0.9,0.5,0.1,50,0,0
0.5,0.9,0.9,0.5,0.5,49,1,0
0.5,0.9,0.9,0.5,0.9,50,0,0
0.5,0.9,0.9,0.9,0.1,14,36,0
0.5,0.9,0.9,0.9,0.5,13,37,0
0.5,0.9,0.9,0.9,0.9,38,12,0
0.9,0.1,0.1,0.1,0.1,0,33,17
0.9,0.1,0.1,0.1,0.5,0,46,4
0.9,0.1,0.1,0.1,0.9,1,49,0
0.9,0.1,0.1,0.5,0.1,0,30,20
0.9,0.1,0.1,0.5,0.5,0,46,4
0.9,0.1,0.1,0.5,0.9,0,50,0
0.9,0.1,0.1,0.9,0.1,0,30,20
0.9,0.1,0.1,0.9,0.5,0,46,4
0.9,0.1,0.1,0.9,0.9,0,50,0
0.9,0.1,0.5,0.1,0.1,45,5,0
0.9,0.1,0.5,0.1,0.5,37,13,0
0.9,0.1,0.5,0.1,0.9,41,9,0
0.9,0.1,0.5,0.5,0.1,1,2,47
0.9,0.1,0.5,0.5,0.5,11,39,0
0.9,0.1,0.5,0.5,0.9,10,40,0
0.9,0.1,0.5,0.9,0.1,0,0,50
0.9,0.1,0.5,0.9,0.5,0,50,0
0.9,0.1,0.5,0.9,0.9,0,50,0
0.9,0.1,0.9,0.1,0.1,45,5,0
0.9,0.1,0.9,0.1,0.5,38,12,0
0.9,0.1,0.9,0.1,0.9,42,8,0
0.9,0.1,0.9,0.5,0.1,40,4,6
0.9,0.1,0.9,0.5,0.5,49,1,0
0.9,0.1,0.9,0.5,0.9,49,1,0
0.9,0.1,0.9,0.9,0.1,1,26,23
0.9,0.1,0.9,0.9,0.5,5,45,0
0.9,0.1,0.9,0.9,0.9,20,30,0
0.9,0.5,0.1,0.1,0.1,0,45,5
0.9,0.5,0.1,0.1,0.5,0,50,0
0.9,0.5,0.1,0.1,0.9,5,45,0
0.9,0.5,0.1,0.5,0.1,0,46,4
0.9,0.5,0.1,0.5,0.5,0,50,0
0.9,0.5,0.1,0.5,0.9,0,50,0
0.9,0.5,0.1,0.9,0.1,0,49,1
0.9,0.5,0.1,0.9,0.5,0,50,0
0.9,0.5,0.1,0.9,0.9,0,50,0
0.9,0.5,0.5,0.1,0.1,50,0,0
0.9,0.5,0.5,0.1,0.5,50,0,0
0.9,0.5,0.5,0.1,0.9,50,0,0
0.9,0.5,0.5,0.5,0.1,22,28,0
0.9,0.5,0.5,0.5,0.5,17,33,0
0.9,0.5,0.5,0.5,0.9,11,39,0
0.9,0.5,0.5,0.9,0.1,0,50,0
0.9,0.5,0.5,0.9,0.5,0,50,0
0.9,0.5,0.5,0.9,0.9,0,50,0
0.9,0.5,0.9,0.1,0.1,50,0,0
0.9,0.5,0.9,0.1,0.5,50,0,0
0.9,0.5,0.9,0.1,0.9,50,0,0
0.9,0.5,0.9,0.5,0.1,50,0,0
0.9,0.5,0.9,0.5,0.5,50,0,0
0.9,0.5,0.9,0.5,0.9,50,0,0
0.9,0.5,0.9,0.9,0.1,10,40,0
0.9,0.5,0.9,0.9,0.5,21,29,0
0.9,0.5,0.9,0.9,0.9,46,4,0
0.9,0.9,0.1,0.1,0.1,0,50,0
0.9,0.9,0.1,0.1,0.5,0,50,0
0.9,0.9,0.1,0.1,0.9,9,41,0
0.9,0.9,0.1,0.5,0.1,0,50,0
0.9,0.9,0.1,0.5,0.5,0,50,0
0.9,0.9,0.1,0.5,0.9,0,50,0
0.9,0.9,0.1,0.9,0.1,0,49,1
0.9,0.9,0.1,0.9,0.5,0,50,0
0.9,0.9,0.1,0.9,0.9,0,50,0
0.9,0.9,0.5,0.1,0.1,50,0,0
0.9,0.9,0.5,0.1,0.5,50,0,0
0.9,0.9,0.5,0.1,0.9,49,1,0
0.9,0.9,0.5,0.5,0.1,24,26,0
0.9,0.9,0.5,0.5,0.5,17,33,0
0.9,0.9,0.5,0.5,0.9,6,44,0
0.9,0.9,0.5,0.9,0.1,0,50,0
0.9,0.9,0.5,0.9,0.5,0,50,0
0.9,0.9,0.5,0.9,0.9,0,50,0
0.9,0.9,0.9,0.1,0.1,50,0,0
0.9,0.9,0.9,0.1,0.5,50,0,0
0.9,0.9,0.9,0.1,0.9,50,0,0
0.9,0.9,0.9,0.5,0.1,50,0,0
0.9,0.9,0.9,0.5,0.5,49,1,0
0.9,0.9,0.9,0.5,0.9,50,0,0
0.9,0.9,0.9,0.9,0.1,22,28,0
0.9,0.9,0.9,0.9,0.5,17,33,0
0.9,0.9,0.9,0.9,0.9,37,13,0
0.1,0.1,0.1,0.1,0.1,0,50,0
0.1,0.1,0.1,0.1,0.5,0,50,0
0.1,0.1,0.1,0.1,0.9,0,50,0
0.1,0.1,0.1,0.5,0.1,0,50,0
0.1,0.1,0.1,0.5,0.5,0,50,0
0.1,0.1,0.1,0.5,0.9,0,50,0
0.1,0.1,0.1,0.9,0.1,0,50,0
0.1,0.1,0.1,0.9,0.5,0,50,0
0.1,0.1,0.1,0.9,0.9,0,50,0
0.1,0.1,0.5,0.1,0.1,0,39,11
0.1,0.1,0.5,0.1,0.5,0,43,7
0.1,0.1,0.5,0.1,0.9,0,50,0
0.1,0.1,0.5,0.5,0.1,0,36,14
0.1,0.1,0.5,0.5,0.5,0,42,8
0.1,0.1,0.5,0.5,0.9,0,50,0
0.1,0.1,0.5,0.9,0.1,0,35,15
0.1,0.1,0.5,0.9,0.5,0,37,13
0.1,0.1,0.5,0.9,0.9,0,50,0
0.1,0.1,0.9,0.1,0.1,0,37,13
0.1,0.1,0.9,0.1,0.5,0,45,5
0.1,0.1,0.9,0.1,0.9,0,50,0
0.1,0.1,0.9,0.5,0.1,0,28,22
0.1,0.1,0.9,0.5,0.5,0,43,7
0.1,0.1,0.9,0.5,0.9,0,50,0
0.1,0.1,0.9,0.9,0.1,0,32,18
0.1,0.1,0.9,0.9,0.5,0,43,7
0.1,0.1,0.9,0.9,0.9,0,50,0
0.1,0.5,0.1,0.1,0.1,0,46,4
0.1,0.5,0.1,0.1,0.5,0,50,0
0.1,0.5,0.1,0.1,0.9,2,48,0
0.1,0.5,0.1,0.5,0.1,0,48,2
0.1,0.5,0.1,0.5,0.5,0,47,3
0.1,0.5,0.1,0.5,0.9,0,50,0
0.1,0.5,0.1,0.9,0.1,0,48,2
0.1,0.5,0.1,0.9,0.5,0,50,0
0.1,0.5,0.1,0.9,0.9,0,50,0
0.1,0.5,0.5,0.1,0.1,18,27,5
0.1,0.5,0.5,0.1,0.5,24,26,0
0.1,0.5,0.5,0.1,0.9,23,27,0
0.1,0.5,0.5,0.5,0.1,0,21,29
0.1,0.5,0.5,0.5,0.5,0,48,2
0.1,0.5,0.5,0.5,0.9,7,43,0
0.1,0.5,0.5,0.9,0.1,0,16,34
0.1,0.5,0.5,0.9,0.5,0,49,1
0.1,0.5,0.5,0.9,0.9,0,50,0
0.1,0.5,0.9,0.1,0.1,32,18,0
0.1,0.5,0.9,0.1,0.5,31,19,0
0.1,0.5,0.9,0.1,0.9,33,17,0
0.1,0.5,0.9,0.5,0.1,23,17,10
0.1,0.5,0.9,0.5,0.5,27,23,0
0.1,0.5,0.9,0.5,0.9,30,20,0
0.1,0.5,0.9,0.9,0.1,0,41,9
