talkativeness,agreeableness,knowledge_sharing,mimicry,critical_thinking,equal,loop,timeout,percent
0.1,0.1,0.1,0.1,0.1,0,50,0,
0.1,0.1,0.1,0.1,0.5,0,50,0,
0.1,0.1,0.1,0.1,0.9,0,50,0,
0.1,0.1,0.1,0.5,0.1,0,50,0,
0.1,0.1,0.1,0.5,0.5,0,50,0,
0.1,0.1,0.1,0.5,0.9,0,50,0,
0.1,0.1,0.1,0.9,0.1,0,50,0,
0.1,0.1,0.1,0.9,0.5,0,50,0,
0.1,0.1,0.1,0.9,0.9,0,50,0,
0.1,0.1,0.5,0.1,0.1,0,31,19,
0.1,0.1,0.5,0.1,0.5,0,33,17,
0.1,0.1,0.5,0.1,0.9,0,50,0,
0.1,0.1,0.5,0.5,0.1,0,31,19,
0.1,0.1,0.5,0.5,0.5,0,42,8,
0.1,0.1,0.5,0.5,0.9,0,50,0,
0.1,0.1,0.5,0.9,0.1,0,38,12,
0.1,0.1,0.5,0.9,0.5,0,36,14,
0.1,0.1,0.5,0.9,0.9,0,50,0,
0.1,0.1,0.9,0.1,0.1,0,40,10,
0.1,0.1,0.9,0.1,0.5,0,48,2,
0.1,0.1,0.9,0.1,0.9,0,50,0,
0.1,0.1,0.9,0.5,0.1,0,34,16,
0.1,0.1,0.9,0.5,0.5,0,44,6,
0.1,0.1,0.9,0.5,0.9,1,49,0,100.0
0.1,0.1,0.9,0.9,0.1,0,26,24,
0.1,0.1,0.9,0.9,0.5,0,42,8,
0.1,0.1,0.9,0.9,0.9,0,50,0,
0.1,0.5,0.1,0.1,0.1,0,48,2,
0.1,0.5,0.1,0.1,0.5,0,50,0,
0.1,0.5,0.1,0.1,0.9,0,50,0,
0.1,0.5,0.1,0.5,0.1,0,47,3,
0.1,0.5,0.1,0.5,0.5,0,50,0,
0.1,0.5,0.1,0.5,0.9,0,50,0,
0.1,0.5,0.1,0.9,0.1,0,48,2,
0.1,0.5,0.1,0.9,0.5,0,48,2,
0.1,0.5,0.1,0.9,0.9,0,50,0,
0.1,0.5,0.5,0.1,0.1,27,20,3,"26.67, 46.67, 26.67, 46.67, 26.67, 53.33, 46.67, 33.33, 26.67, 6.67, 40.0, 20.0, 33.33, 26.67, 13.33, 40.0, 40.0, 20.0, 6.67, 26.67, 20.0, 13.33, 20.0, 20.0, 26.67, 26.67, 40.0"
